Age_GTS2004	d18O_adj	d18O_adj_5pt_average	temp_C
0.08511	3.52	3.176666667	4.25310288775204
0.08513	3.3	3.2925	3.859927875
0.08559	2.71	3.452	3.32468256
0.08559	3.64	3.43	3.398086
0.08559	4.09	3.406	3.47831704
0.0856	3.41	3.5	3.165
0.08577	3.18	3.408	3.47162496
0.08577	3.18	3.266	3.94954584
0.08577	3.18	3.326	3.74691864
0.08607	3.38	3.374	3.58554264
0.08611	3.71	3.422	3.42481176
0.08625	3.42	3.442	3.35803096
0.08638	3.42	3.4575	3.306352875
0.08682	3.28	3.373333333	3.58777955667405
0.08711	NA	3.31	3.800854
0.08711	NA	3.413333333	3.45378489000364
0.08711	3.23	3.43	3.398086
0.08711	3.73	3.395	3.5151435
0.08748	3.33	3.438	3.37137816
0.08795	3.29	3.49	3.198214
0.08811	3.61	3.4225	3.423140875
0.08811	NA	3.425	3.4147875
0.08811	3.46	3.525	3.0820875
0.08842	3.34	3.3725	3.590575875
0.08851	3.69	3.314	3.78736344
0.08858	3	3.318	3.77387736
0.08858	3.08	3.43	3.398086
0.08889	3.48	3.472	3.25806976
0.08898	3.9	3.652	2.66359456
0.08898	3.9	3.722	2.43485976
0.08898	3.9	3.678	2.57847576
0.08936	3.43	3.588	2.87392416
0.08984	3.26	3.452	3.32468256
